Time,Voltage,Current
3.02E-05,14.52222967,0.000659812588
3.02E-05,14.52222969,0.0006598125888
3.02E-05,14.52222972,0.0006598125903
3.02E-05,14.52222977,0.0006598125933
3.02E-05,14.52222988,0.0006598125999
3.02E-05,14.52223012,0.0006598126136
3.02E-05,14.52223058,0.0006598126403
3.02E-05,14.52223149,0.0006598126923
3.02E-05,14.5222333,0.0006598127964
3.02E-05,14.52223696,0.0006598130069
3.02E-05,14.52224433,0.0006598134299
3.02E-05,14.52225901,0.0006598142737
3.02E-05,14.52228828,0.0006598159557
3.02E-05,14.5223468,0.0006598193185
3.02E-05,14.522464,0.0006598260534
3.02E-05,14.52269858,0.0006598395333
3.02E-05,14.52316762,0.0006598664855
3.02E-05,14.52410525,0.0006599203654
3.02E-05,14.52598036,0.0006600281165
3.02E-05,14.5297312,0.0006602436534
3.02E-05,14.53723359,0.0006606747698
3.02E-05,14.55223765,0.0006615369622
3.03E-05,14.58224252,0.0006632611697
3.04E-05,14.64224561,0.0006667092336
3.07E-05,14.76223086,0.0006736042747
3.12E-05,15.00210694,0.0006873893232
3.22E-05,15.4814078,0.0007149345986
3.42E-05,16.43767958,0.0007698933922
3.82E-05,18.33795248,0.0008791059334
4.62E-05,22.08072278,0.001094192833
5.70E-05,27.05816461,0.001380186037
6.77E-05,31.9824801,0.001663070727
7.84E-05,36.85423125,0.001942880843
8.28E-05,38.81806472,0.002055658524
8.38E-05,39.27845406,0.002082096164
8.44E-05,39.54094296,0.002097169247
8.52E-05,39.89346344,0.002117412026
8.63E-05,40.37860712,0.002145269952
8.82E-05,41.22035486,0.002193603502
9.15E-05,42.69174116,0.002278087227
9.63E-05,44.82732272,0.00240069856
1.00E-04,46.47666113,0.002495385604
0.0001036964171,48.11155549,0.002589237093
0.0001083549851,50.15748891,0.002706675462
0.0001149837694,53.05232884,0.002872824806
0.0001286146882,58.94524259,0.003210986742
0.0001488984399,67.56731643,0.003705608677
0.0001794861694,80.24425629,0.004432512703
0.000225514301,98.60811726,0.005484784708
0.0002715424325,116.1459513,0.006488882652
0.000317570564,132.8944726,0.007446984994
0.0003635986955,148.8893115,0.008361204142
0.0004269157096,169.7296426,0.009551205413
0.0005114616185,195.5908464,0.01102593913
0.0006178239275,225.1870706,0.01271075215
0.0007241862365,251.7917609,0.01422228314
0.0007865355544,266.0967972,0.01503368374
0.0008488848724,279.538042,0.01579520685
0.0009295690224,295.7416762,0.01671203035
0.001010253172,310.6892133,0.01755650061
0.001090937322,324.4768419,0.01833425086
0.001193152702,340.4292999,0.01923257613
0.001317936667,357.8331454,0.02021053376
0.001317936667,357.8331454,0.02021053376
0.001385155922,366.05574,0.02067138478
0.001452375177,373.7605378,0.02110267844
0.001519594432,380.9801456,0.02150630613
0.001586813687,387.8732845,0.02189133074
0.001708935183,399.3926492,0.02253370409
0.001909135369,415.6146724,0.02343557895
0.002259182118,437.503407,0.02464604362
0.002497415881,448.4029506,0.02524424527
0.002735649644,456.9522314,0.02571058559
0.002973883407,463.6718634,0.02607473335
0.00321211717,468.9564778,0.02635906963
0.003450350933,473.1126007,0.02658090146
0.003688584696,476.3809093,0.02675376086
0.00392681846,478.9508876,0.0268882578
0.004165052223,480.9716922,0.02699271006
0.004403285986,482.5606658,0.02707363453
0.004641519749,483.8100893,0.02713613534
0.004879753512,484.7925243,0.0271842096
0.005173043255,485.723301,0.02722840516
0.005466332998,486.4145854,0.02725977551
0.005759622741,486.927548,0.02728164714
0.006052912485,487.3083135,0.0272965165
0.006424283571,487.6562792,0.02730828523
0.006795654658,487.8942168,0.02731430099
0.007167025745,488.0566159,0.02731639892
0.007369770166,488.1209662,0.02731628547
0.007572514588,488.1736856,0.02731556193
